,store,sido,gungu,store_address
0,강일지구점,서울특별시,강동구,"서울특별시 강동구 아리수로93길 27 202(강일동,,2강일타워2층202호~203호)"
1,곤지암리조트점,경기도,광주시,경기도 광주시 도척면 도척윗로 278 
2,광교도청점,경기,수원시,"경기 수원시 영통구 이의동 지타워203호,204호"
3,광교상현점,경기도,용인시,"경기도 용인시 수지구 법조로 242 (상현동,광교파크프 101, 201호"
4,광주봉선점,광주광역시,남구,광주광역시 남구 봉선중앙로 3 
5,광주수완장덕점(P-cafe)(3),광주광역시,광산구,광주광역시 광산구 풍영로 277 (장덕동) 1층
6,광주치평본점,광주광역시,서구,"광주광역시 서구 상무자유로 173 치평동,1,2층"
7,교대본점,서울특별시,서초구,서울특별시 서초구 남부순환로 339길 63(서초동 1층)
8,군산수송스타점,전라북도,군산시,전라북도 군산시 수송로 213 (수송동) 2층
9,나주혁신점,전라남도,나주시,전라남도 나주시 상야2길 7 (빛가람동) 114(중흥S-클래스메가티움1차1층)
10,남양주묵현점,경기도,남양주시,경기도 남양주시 화도읍 먹갓로28번길 14 
11,논산점,충청남도,논산시,충청남도 논산시 중앙로 271 (취암동)
12,논산중앙점,충청남도,논산시,충청남도 논산시 번영로17번길 10-11 (취암동) 1층 101호
13,대전둔산사학연금점,대전광역시,서구,대전광역시 서구 한밭대로 809 (둔산동) 1층
14,대전둔산점,대전광역시,서구,대전광역시 서구 둔산남로105번길 18 (둔산동) 102(둔산동)
15,대전중리행운점,대전광역시,대덕구,"대전광역시 대덕구 한밭대로 1141 (중리동, 진성빌딩) "
16,봉은사역점,서울특별시,강남구,"서울특별시 강남구 영동대로 611 (삼성동, Chan&ChanT; 1층,2층"
17,부산당감점,부산광역시,부산진구,부산광역시 부산진구 동평로 98 
18,부산마린시티점(프리미엄)(2명변),부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 39 (우동, 카이저빌 101호"
19,삼성라이온즈파크점,대구광역시,수성구,대구광역시 수성구 야구전설로1 (연호동) 06호 1층
20,삼송신원점,경기도,고양시,"경기도 고양시 덕양구 권율대로 907 (신원동, KN빌딩) 1층"
21,서울대글로벌공학관점,서울특별시,관악구,"서울특별시 관악구 관악로 1 서울대학교 39-218(신림동,글로벌공학교육센터)"
22,서울대캠퍼스점(cafe직영),서울,관악구,서울 관악구 신림동 산 56-1 번지 서울대공과대학 해동관지하1층
23,세종시1호점(P-cafe),세종특별자치시,누리로,"세종특별자치시 누리로 59 (한솔동, 첫마을5단지) 101,102호"
24,송도라마다호텔BBQ타운점,인천광역시,연수구,"인천광역시 연수구 능허대로267번길 29 (동춘동) 106,107호"
25,수원시청점,경기도,수원시,경기도 수원시 팔달구 효원로 307번길 39 (효원동)
26,수원호매실스타점,경기,수원시,경기 수원시 권선구 금곡동 570-2 우성매디피아 1층 101호~103호
27,순천신대점,전라남도,순천시,전라남도 순천시 해룡면 신대로 119 (1층)
28,신공항점,인천광역시,중구,"인천광역시 중구 신도시남로141번길 5-12 (운서동, 화 1층 108호, 109호"
29,아산탕정점,충청남도,아산시,충청남도 아산시 탕정면 탕정면로8번길 3-12 
30,암사본점,서울특별시,강동구,서울특별시 강동구 올림픽로 786 (암사동) 
31,여주스타점,경기도,여주군,경기도 여주군 여주읍 세종로 145-7 
32,역삼스타점,서울특별시,강남구,서울특별시 강남구 논현로 411 지상1층
33,오창본점,충북,청원군,"충북 청원군 오창읍 과학산업2로 383, 1층"
