,store,sido,gungu,store_address,_merge
0,강일지구점,서울특별시,강동구,"서울특별시 강동구 아리수로93길 27 202(강일동,,2강일타워2층202호~203호)",both
1,암사본점,서울특별시,강동구,서울특별시 강동구 올림픽로 786 (암사동) ,both
2,길동점,서울특별시,강동구,서울특별시 강동구 명일로 198 (길동) ,both
3,성내점,서울특별시,강동구,"서울특별시 강동구 풍성로 141 (성내동) 성내동, 1층",both
4,암사스타점,서울특별시,강동구,서울 강동구 암사동 암사동 447-7 ,both
5,고덕점,서울특별시,강동구,서울 강동구 고덕1동 645-8번지,both
6,둔촌점,서울특별시,강동구,서울 강동구 둔촌2동 70-56,both
7,명일점,서울특별시,강동구,서울 강동구 명일동 289-14,both
8,상일점,서울특별시,강동구,서울특별시 강동구 상일동 276,both
9,암사2점,서울특별시,강동구,서울 강동구 천호동 243-18 1층,both
10,천호점,서울특별시,강동구,서울 강동구 천호3동 169-35,both
11,곤지암리조트점,경기도,광주시,경기도 광주시 도척면 도척윗로 278 ,both
12,경기광주중앙점,경기도,광주시,경기도 광주시 중앙로 150 (경안동) ,both
13,경기광주2호점(cafe),경기도,광주시,경기 광주시 탄벌동 765 경남아파트상가비동103호,both
14,경기광주쌍동점,경기도,광주시,경기 광주시 초월읍 쌍동리 184,both
15,경기광주역점(올리브카페),경기도,광주시,경기도 광주시 장지1길 19 (장지동) 1층,both
16,경기광주태전점,경기도,광주시,경기도 광주시 태봉로 23 (태전동) ,both
17,경기광주퇴촌점,경기도,광주시,경기 광주시 퇴촌면 광동리 173-7,both
18,경기능골점,경기도,광주시,경기 광주시 오포읍 능평리 174-33,both
19,경기양벌리점,경기도,광주시,경기 광주시 오포읍 양벌리 561-1,both
20,곤지암점,경기도,광주시,경기 광주시 실촌면 곤지암리 453-48번지,both
21,광주도척점,경기도,광주시,경기도 광주시 도척면 노곡로 19 (1층),both
22,광주도평리점,경기도,광주시,경기도 광주시 초월읍 현산로 106 ,both
23,광주송정역점(올리브카페),경기도,광주시,경기도 광주시 광주대로224번길 1 (송정동) 1층 3호,both
24,광교도청점,경기도,수원시,"경기 수원시 영통구 이의동 지타워203호,204호",both
25,수원시청점,경기도,수원시,경기도 수원시 팔달구 효원로 307번길 39 (효원동),both
26,수원호매실스타점,경기도,수원시,경기 수원시 권선구 금곡동 570-2 우성매디피아 1층 101호~103호,both
27,수원곡반정점,경기도,수원시,경기 수원시 권선구 곡반정동 584-5,both
28,수원영통1점,경기도,수원시,경기도 수원시 영통구 영통로 523 (영통동),both
29,영화행복점,경기도,수원시,"경기도 수원시 장안구 장안로7번길 18 (영화동) 영화동, 102호, 103호",both
30,고색행복점,경기도,수원시,경기도 수원시 권선구 매송고색로 701 (고색동) ,both
31,수원세류점(치킨앤비어),경기도,수원시,경기도 수원시 권선구 정조로388번길 6(세류동) 1층,both
32,수원조원점,경기도,수원시,경기도 수원시 장안구 경수대로 920 (조원동) 2층,both
33,파장점,경기도,수원시,경기 수원시 장안구 파장동 588,both
34,매탄2점(명변),경기도,수원시,경기 수원시 영통구 매탄4동 207-18번지,both
35,매탄점,경기도,수원시,"경기도 수원시 팔달구 권광로 246 (인계동, 래미안 노 상가동 114호",both
