,store,sido,gungu,store_address,_merge
0,강일지구점,서울특별시,강동구,"서울특별시 강동구 아리수로93길 27 202(강일동,,2강일타워2층202호~203호)",both
1,암사본점,서울특별시,강동구,서울특별시 강동구 올림픽로 786 (암사동) ,both
2,길동점,서울특별시,강동구,서울특별시 강동구 명일로 198 (길동) ,both
3,성내점,서울특별시,강동구,"서울특별시 강동구 풍성로 141 (성내동) 성내동, 1층",both
4,암사스타점,서울특별시,강동구,서울 강동구 암사동 암사동 447-7 ,both
5,고덕점,서울특별시,강동구,서울 강동구 고덕1동 645-8번지,both
6,둔촌점,서울특별시,강동구,서울 강동구 둔촌2동 70-56,both
7,명일점,서울특별시,강동구,서울 강동구 명일동 289-14,both
8,상일점,서울특별시,강동구,서울특별시 강동구 상일동 276,both
9,암사2점,서울특별시,강동구,서울 강동구 천호동 243-18 1층,both
