,store,sido,gungu,store_address,_merge
0,가양동점,서울특별시,강서구,서울특별시 강서구 강서로74길 12 (가양동),both
1,강서구청점,서울특별시,강서구,서울특별시 강서구 화곡6동 986-4 1층,both
2,까치산점,서울특별시,강서구,서울특별시 강서구 화곡8동 342-7 1층 102,both
3,등촌제일점,서울특별시,강서구,서울특별시 강서구 등촌1동 641-12,both
4,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동),both
5,방화1점,서울특별시,강서구,"서울특별시 강서구 양천로11길 8 (방화동, 1층)",both
6,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",both
7,염창동점,서울특별시,강서구,서울특별시 강서구 공항대로65길 51. 1층(염창동),both
8,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",both
9,화곡본동점,서울특별시,강서구,서울특별시 강서구 까치산로 22 (화곡동),both
10,가양동점,서울특별시,강서구,서울특별시 강서구 강서로74길 12 (가양동),both
11,강서구청점,서울특별시,강서구,서울특별시 강서구 화곡6동 986-4 1층,both
12,까치산점,서울특별시,강서구,서울특별시 강서구 화곡8동 342-7 1층 102,both
13,등촌제일점,서울특별시,강서구,서울특별시 강서구 등촌1동 641-12,both
14,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동),both
15,방화1점,서울특별시,강서구,"서울특별시 강서구 양천로11길 8 (방화동, 1층)",both
16,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",both
17,염창동점,서울특별시,강서구,서울특별시 강서구 공항대로65길 51. 1층(염창동),both
18,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",both
19,화곡본동점,서울특별시,강서구,서울특별시 강서구 까치산로 22 (화곡동),both
20,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),both
21,개포2점,서울특별시,강남구,서울특별시 강남구 선릉로6길 12. 1층(개포동),both
22,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동),both
23,경복점,서울특별시,강남구,서울특별시 강남구 논현동 277,both
24,논현동점,서울특별시,강남구,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",both
25,대치동점,서울특별시,강남구,서울특별시 강남구 대치동 626 청실상가 108,both
26,삼성동점,서울특별시,강남구,서울특별시 강남구 삼성1동 101-9 1층,both
27,세곡점,서울특별시,강남구,서울특별시 강남구 세곡동 124-2 1층 16,both
28,수서점,서울특별시,강남구,"서울특별시 강남구 광평로51길 49, 수서주공아파트상가112",both
29,역삼동점,서울특별시,강남구,"서울특별시 강남구 논현로63길 16, 1층116호(역삼동,역삼종합시장더블루)",both
30,영동아파트점,서울특별시,강남구,"서울특별시 강남구 역삼로64길 11, 1층(대치동)",both
31,진달래점,서울특별시,강남구,서울특별시 강남구 역삼동 779-9,both
32,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),both
33,개포2점,서울특별시,강남구,서울특별시 강남구 선릉로6길 12. 1층(개포동),both
34,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동),both
35,경복점,서울특별시,강남구,서울특별시 강남구 논현동 277,both
36,논현동점,서울특별시,강남구,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",both
37,대치동점,서울특별시,강남구,서울특별시 강남구 대치동 626 청실상가 108,both
38,삼성동점,서울특별시,강남구,서울특별시 강남구 삼성1동 101-9 1층,both
39,세곡점,서울특별시,강남구,서울특별시 강남구 세곡동 124-2 1층 16,both
40,수서점,서울특별시,강남구,"서울특별시 강남구 광평로51길 49, 수서주공아파트상가112",both
41,역삼동점,서울특별시,강남구,"서울특별시 강남구 논현로63길 16, 1층116호(역삼동,역삼종합시장더블루)",both
42,영동아파트점,서울특별시,강남구,"서울특별시 강남구 역삼로64길 11, 1층(대치동)",both
43,진달래점,서울특별시,강남구,서울특별시 강남구 역삼동 779-9,both
44,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",both
45,고척동점,서울특별시,구로구,서울특별시 구로구 고척2동 164-41,both
46,구로2동점,서울특별시,구로구,서울특별시 구로구 구로2동 726-32,both
47,궁동점(서울),서울특별시,구로구,서울특별시 구로구 궁동 189-25,both
48,대림역점,서울특별시,구로구,서울특별시 구로구 구로중앙로8길 17,both
49,신구로점,서울특별시,구로구,"서울특별시 구로구 구로중앙로28다길 21, 1층101호(구로동)",both
50,신도림점,서울특별시,구로구,서울특별시 구로구 신도림로11다길 23(신도림동),both
51,오류1점,서울특별시,구로구,서울특별시 구로구 고척로1길 5 (오류동),both
52,천왕점,서울특별시,구로구,"서울특별시 구로구 천왕로 56, 상가동1층102호(천왕동,천왕이펜하우스3단지)",both
53,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",both
54,고척동점,서울특별시,구로구,서울특별시 구로구 고척2동 164-41,both
55,구로2동점,서울특별시,구로구,서울특별시 구로구 구로2동 726-32,both
56,궁동점(서울),서울특별시,구로구,서울특별시 구로구 궁동 189-25,both
57,대림역점,서울특별시,구로구,서울특별시 구로구 구로중앙로8길 17,both
58,신구로점,서울특별시,구로구,"서울특별시 구로구 구로중앙로28다길 21, 1층101호(구로동)",both
59,신도림점,서울특별시,구로구,서울특별시 구로구 신도림로11다길 23(신도림동),both
60,오류1점,서울특별시,구로구,서울특별시 구로구 고척로1길 5 (오류동),both
61,천왕점,서울특별시,구로구,"서울특별시 구로구 천왕로 56, 상가동1층102호(천왕동,천왕이펜하우스3단지)",both
62,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,both
63,길동2점,서울특별시,강동구,서울특별시 강동구 길동 337-14,both
64,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",both
65,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동),both
66,상일동점,서울특별시,강동구,서울특별시 강동구 상일동 207 1층,both
67,성내점,서울특별시,강동구,서울특별시 강동구 성내1동 560-5,both
68,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25,both
69,천호점,서울특별시,강동구,"서울특별시 강동구 천호대로163길 21(천호동, 1층 2호)",both
70,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,both
71,길동2점,서울특별시,강동구,서울특별시 강동구 길동 337-14,both
72,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",both
73,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동),both
74,상일동점,서울특별시,강동구,서울특별시 강동구 상일동 207 1층,both
75,성내점,서울특별시,강동구,서울특별시 강동구 성내1동 560-5,both
76,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25,both
77,천호점,서울특별시,강동구,"서울특별시 강동구 천호대로163길 21(천호동, 1층 2호)",both
78,공덕동점,서울특별시,마포구,서울특별시 마포구 공덕동 111-187,both
79,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",both
80,도화동점,서울특별시,마포구,서울특별시 마포구 도화동 268,both
81,망원동점,서울특별시,마포구,서울특별시 마포구 망원2동 475-42,both
82,성산동점,서울특별시,마포구,서울특별시 마포구 중동 64-25,both
83,신공덕점,서울특별시,마포구,"서울특별시 마포구 만리재옛길 20(신공덕동, 1층)",both
84,신수동점,서울특별시,마포구,"서울특별시 마포구 토정로 240, 1-1(신수동, 상가)",both
85,연남동점,서울특별시,마포구,서울특별시 마포구 연남로 41(연남동),both
86,이대점,서울특별시,마포구,서울특별시 마포구 염리동 9-32,both
87,합정동점,서울특별시,마포구,서울특별시 마포구 포은로 52(합정동),both
88,홍익대점,서울특별시,마포구,"서울특별시 마포구 독막로22길 21(창전동, 1층)",both
89,공덕동점,서울특별시,마포구,서울특별시 마포구 공덕동 111-187,both
90,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",both
91,도화동점,서울특별시,마포구,서울특별시 마포구 도화동 268,both
92,망원동점,서울특별시,마포구,서울특별시 마포구 망원2동 475-42,both
93,성산동점,서울특별시,마포구,서울특별시 마포구 중동 64-25,both
94,신공덕점,서울특별시,마포구,"서울특별시 마포구 만리재옛길 20(신공덕동, 1층)",both
95,신수동점,서울특별시,마포구,"서울특별시 마포구 토정로 240, 1-1(신수동, 상가)",both
96,연남동점,서울특별시,마포구,서울특별시 마포구 연남로 41(연남동),both
97,이대점,서울특별시,마포구,서울특별시 마포구 염리동 9-32,both
98,합정동점,서울특별시,마포구,서울특별시 마포구 포은로 52(합정동),both
99,홍익대점,서울특별시,마포구,"서울특별시 마포구 독막로22길 21(창전동, 1층)",both
100,공릉2점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동),both
101,상계역점,서울특별시,노원구,"서울특별시 노원구 상계로23다길 4, 102호(상계동)",both
102,서울온천점,서울특별시,노원구,"서울특별시 노원구 노원로16길 15(하계동, 중계9단지상가 203)",both
103,월계동점,서울특별시,노원구,서울특별시 노원구 광운로2나길 11,both
104,월계삼호점,서울특별시,노원구,서울특별시 노원구 월계3동 12-1 삼호4차 상가,both
105,공릉2점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동),both
106,상계역점,서울특별시,노원구,"서울특별시 노원구 상계로23다길 4, 102호(상계동)",both
107,서울온천점,서울특별시,노원구,"서울특별시 노원구 노원로16길 15(하계동, 중계9단지상가 203)",both
108,월계동점,서울특별시,노원구,서울특별시 노원구 광운로2나길 11,both
109,월계삼호점,서울특별시,노원구,서울특별시 노원구 월계3동 12-1 삼호4차 상가,both
110,광나루점,서울특별시,광진구,서울특별시 광진구 광장동 277-12 1층,both
111,광장동점,서울특별시,광진구,서울특별시 광진구 구의동 203-24,both
112,구의동점,서울특별시,광진구,서울특별시 광진구 자양로 322 (구의동),both
113,뚝섬점,서울특별시,광진구,서울특별시 광진구 능동로3가길 4(자양동),both
114,자양1점,서울특별시,광진구,"서울특별시 광진구 자양로13다길 47(자양동, 1층)",both
115,자양3점,서울특별시,광진구,서울특별시 광진구 뚝섬로 693,both
116,중곡1점,서울특별시,광진구,"서울특별시 광진구 용마산로7길 20(중곡동, 1층)",both
117,중곡2점,서울특별시,광진구,서울특별시 광진구 중곡동 199-27,both
118,화양동점,서울특별시,광진구,"서울특별시 광진구 능동로13길 70(화양동, 1층)",both
119,광나루점,서울특별시,광진구,서울특별시 광진구 광장동 277-12 1층,both
120,광장동점,서울특별시,광진구,서울특별시 광진구 구의동 203-24,both
121,구의동점,서울특별시,광진구,서울특별시 광진구 자양로 322 (구의동),both
122,뚝섬점,서울특별시,광진구,서울특별시 광진구 능동로3가길 4(자양동),both
123,자양1점,서울특별시,광진구,"서울특별시 광진구 자양로13다길 47(자양동, 1층)",both
124,자양3점,서울특별시,광진구,서울특별시 광진구 뚝섬로 693,both
