,store,sido,gungu,store_address,_merge
62,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,both
63,길동2점,서울특별시,강동구,서울특별시 강동구 길동 337-14,both
64,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",both
65,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동),both
66,상일동점,서울특별시,강동구,서울특별시 강동구 상일동 207 1층,both
67,성내점,서울특별시,강동구,서울특별시 강동구 성내1동 560-5,both
68,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25,both
69,천호점,서울특별시,강동구,"서울특별시 강동구 천호대로163길 21(천호동, 1층 2호)",both
70,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,both
71,길동2점,서울특별시,강동구,서울특별시 강동구 길동 337-14,both
72,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",both
73,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동),both
74,상일동점,서울특별시,강동구,서울특별시 강동구 상일동 207 1층,both
75,성내점,서울특별시,강동구,서울특별시 강동구 성내1동 560-5,both
76,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25,both
77,천호점,서울특별시,강동구,"서울특별시 강동구 천호대로163길 21(천호동, 1층 2호)",both
