구간,차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 일평균,전년 일평균,전년 대비
서울~신갈JC,소형차,168968 ,172845 ,179134 ,183030 ,184865 ,184525 ,184423 ,191109 ,185757 ,186962 ,185643 ,166715 ,181194 ,179915 ,101 
서울~신갈JC,중형차,5895 ,5987 ,6209 ,6566 ,6275 ,6242 ,6383 ,5958 ,5949 ,6481 ,6194 ,6115 ,6189 ,5964 ,104 
서울~신갈JC,대형차,22065 ,22514 ,23755 ,25085 ,23722 ,23282 ,22990 ,22609 ,23686 ,25771 ,25195 ,23754 ,23706 ,22063 ,107 
신갈JC~수원신갈,소형차,193898 ,198833 ,205752 ,209234 ,209290 ,209637 ,210321 ,215829 ,211338 ,212560 ,212426 ,194963 ,207034 ,202590 ,102 
신갈JC~수원신갈,중형차,7909 ,8153 ,8465 ,8905 ,8383 ,8417 ,8608 ,7883 ,8086 ,8712 ,8342 ,8343 ,8351 ,8261 ,101 
신갈JC~수원신갈,대형차,24395 ,24840 ,26349 ,27997 ,26313 ,26026 ,26182 ,24986 ,26210 ,28461 ,27830 ,26929 ,26382 ,25192 ,105 
수원신갈~기흥,소형차,167602 ,172609 ,177772 ,181229 ,182386 ,182924 ,182556 ,189790 ,186223 ,186532 ,187194 ,169542 ,180553 ,175608 ,103 
수원신갈~기흥,중형차,6515 ,6727 ,6979 ,7393 ,6914 ,6976 ,7169 ,6538 ,6637 ,7200 ,6855 ,6804 ,6893 ,6966 ,99 
수원신갈~기흥,대형차,22037 ,22371 ,23783 ,25243 ,23811 ,23658 ,23643 ,22548 ,23629 ,25623 ,25158 ,24172 ,23811 ,22603 ,105 
기흥~기흥동탄,소형차,156818 ,160802 ,164239 ,166747 ,168112 ,168555 ,167755 ,176186 ,173117 ,172384 ,173007 ,157010 ,167076 ,162475 ,103 
기흥~기흥동탄,중형차,5685 ,5882 ,6120 ,6521 ,6100 ,6206 ,6340 ,5792 ,5905 ,6417 ,6105 ,6027 ,6092 ,6237 ,98 
기흥~기흥동탄,대형차,20843 ,21170 ,22585 ,23953 ,22601 ,22507 ,22312 ,21319 ,22434 ,24242 ,23834 ,22927 ,22565 ,21624 ,104 
기흥동탄~동탄JC,소형차,145061 ,149017 ,152197 ,154900 ,156961 ,157129 ,155571 ,164609 ,162577 ,161565 ,162335 ,146473 ,155716 ,151479 ,103 
기흥동탄~동탄JC,중형차,5835 ,6016 ,6277 ,6674 ,6226 ,6337 ,6470 ,5926 ,6054 ,6584 ,6275 ,6210 ,6241 ,6354 ,98 
기흥동탄~동탄JC,대형차,20222 ,20551 ,21965 ,23306 ,21976 ,21911 ,21771 ,20850 ,21986 ,23723 ,23434 ,22569 ,22027 ,21046 ,105 
동탄JC~오산,소형차,153239 ,157781 ,160981 ,163892 ,166750 ,166893 ,165448 ,174783 ,172691 ,172036 ,173361 ,156684 ,165399 ,158953 ,104 
동탄JC~오산,중형차,6049 ,6257 ,6506 ,6945 ,6509 ,6652 ,6803 ,6228 ,6337 ,6885 ,6570 ,6487 ,6520 ,6552 ,100 
동탄JC~오산,대형차,20491 ,20782 ,22125 ,23403 ,22170 ,22104 ,21971 ,21018 ,22090 ,23707 ,23483 ,22716 ,22177 ,21132 ,105 
오산~안성JC,소형차,143402 ,147584 ,149863 ,152959 ,156430 ,155683 ,153853 ,165061 ,161974 ,161278 ,162774 ,145431 ,154709 ,147698 ,105 
오산~안성JC,중형차,4729 ,4954 ,5171 ,5507 ,5120 ,5210 ,5304 ,4833 ,4891 ,5339 ,5141 ,5008 ,5101 ,5115 ,100 
오산~안성JC,대형차,19679 ,19981 ,21253 ,22516 ,21350 ,21236 ,21049 ,20149 ,21105 ,22675 ,22517 ,21644 ,21267 ,20237 ,105 
안성JC~안성,소형차,142623 ,146187 ,147761 ,150289 ,154805 ,152931 ,150646 ,165752 ,160019 ,158886 ,160762 ,143793 ,152892 ,143774 ,106 
안성JC~안성,중형차,5031 ,5298 ,5486 ,5833 ,5366 ,5454 ,5593 ,5002 ,5074 ,5560 ,5365 ,5279 ,5362 ,5497 ,98 
안성JC~안성,대형차,24547 ,25093 ,26515 ,28129 ,26447 ,26284 ,26216 ,24722 ,25826 ,27847 ,27754 ,26788 ,26351 ,24732 ,107 
안성~북천안,소형차,128999 ,132263 ,133027 ,135140 ,140323 ,138150 ,135791 ,152321 ,145560 ,143755 ,145774 ,129250 ,138382 ,128802 ,107 
안성~북천안,중형차,4534 ,4786 ,4936 ,5274 ,4832 ,4882 ,5021 ,4481 ,4530 ,4996 ,4817 ,4743 ,4819 ,4936 ,98 
안성~북천안,대형차,23487 ,24054 ,25316 ,26910 ,25286 ,25136 ,25119 ,23658 ,24669 ,26647 ,26601 ,25645 ,25213 ,23563 ,107 
북천안~천안,소형차,128903 ,132203 ,133146 ,135421 ,140889 ,138536 ,136186 ,153488 ,146452 ,144915 ,147122 ,130010 ,138962 ,127559 ,109 
북천안~천안,중형차,4646 ,4895 ,5057 ,5411 ,4971 ,5017 ,5153 ,4616 ,4684 ,5180 ,5025 ,4949 ,4967 ,5048 ,98 
북천안~천안,대형차,25295 ,26017 ,27375 ,29163 ,27410 ,27280 ,27321 ,25563 ,26720 ,28897 ,28879 ,27960 ,27327 ,25276 ,108 
천안~천안JC,소형차,108997 ,111275 ,111142 ,113655 ,119996 ,117182 ,114521 ,132690 ,124736 ,122116 ,124051 ,107768 ,117366 ,109135 ,108 
천안~천안JC,중형차,4385 ,4607 ,4766 ,5105 ,4683 ,4704 ,4824 ,4321 ,4389 ,4880 ,4738 ,4651 ,4671 ,4828 ,97 
천안~천안JC,대형차,24902 ,25560 ,26614 ,28387 ,26688 ,26603 ,26703 ,24850 ,25824 ,27933 ,27898 ,27147 ,26594 ,24816 ,107 
천안JC~목천,소형차,63994 ,64924 ,64994 ,66347 ,70345 ,68158 ,66951 ,75906 ,71175 ,70774 ,70784 ,63804 ,68196 ,65103 ,105 
천안JC~목천,중형차,2748 ,2923 ,2994 ,3163 ,2930 ,2909 ,3035 ,2701 ,2733 ,3001 ,2913 ,2924 ,2914 ,3105 ,94 
천안JC~목천,대형차,15326 ,15615 ,16029 ,17096 ,16242 ,16119 ,16355 ,15054 ,15684 ,16804 ,16531 ,16383 ,16104 ,15480 ,104 
목천~청주,소형차,63522 ,64342 ,64078 ,64956 ,69263 ,66873 ,65452 ,74633 ,70056 ,69342 ,69593 ,62949 ,67102 ,63559 ,106 
목천~청주,중형차,2584 ,2766 ,2840 ,2978 ,2764 ,2748 ,2863 ,2565 ,2585 ,2832 ,2756 ,2750 ,2752 ,2900 ,95 
목천~청주,대형차,14792 ,15173 ,15548 ,16578 ,15722 ,15598 ,16062 ,14820 ,15380 ,16515 ,16260 ,16061 ,15711 ,14992 ,105 
청주~남이JC,소형차,55854 ,56188 ,55805 ,56843 ,61360 ,58677 ,57377 ,66722 ,62007 ,61240 ,61184 ,54814 ,59022 ,55319 ,107 
청주~남이JC,중형차,2322 ,2472 ,2545 ,2671 ,2472 ,2458 ,2552 ,2275 ,2296 ,2518 ,2450 ,2441 ,2456 ,2577 ,95 
청주~남이JC,대형차,13648 ,14045 ,14401 ,15430 ,14571 ,14457 ,14936 ,13692 ,14247 ,15376 ,15119 ,14838 ,14565 ,13774 ,106 
남이JC~청주JC,소형차,99788 ,99876 ,101015 ,103308 ,111005 ,107296 ,105178 ,122039 ,112611 ,112285 ,112241 ,99248 ,107199 ,102235 ,105 
남이JC~청주JC,중형차,4445 ,4718 ,4904 ,5201 ,4805 ,4769 ,4956 ,4456 ,4488 ,4950 ,4808 ,4698 ,4766 ,5184 ,92 
남이JC~청주JC,대형차,22140 ,22901 ,23547 ,25209 ,23726 ,23729 ,24403 ,22523 ,23349 ,25528 ,24842 ,24524 ,23872 ,22926 ,104 
청주JC~남청주,소형차,82899 ,83284 ,85006 ,86689 ,92610 ,90155 ,88421 ,102365 ,93630 ,93919 ,94178 ,82924 ,89710 ,87997 ,102 
청주JC~남청주,중형차,3470 ,3711 ,3855 ,4097 ,3814 ,3766 ,3914 ,3577 ,3576 ,3958 ,3830 ,3717 ,3774 ,4136 ,91 
청주JC~남청주,대형차,14179 ,14594 ,15045 ,16027 ,15297 ,15358 ,15556 ,14714 ,15202 ,16679 ,16342 ,15997 ,15419 ,14979 ,103 
남청주~신탄진,소형차,86867 ,87499 ,89795 ,91505 ,97273 ,94927 ,93051 ,106883 ,97993 ,98452 ,98961 ,87571 ,94269 ,92088 ,102 
남청주~신탄진,중형차,3310 ,3530 ,3677 ,3927 ,3672 ,3656 ,3772 ,3493 ,3466 ,3835 ,3692 ,3588 ,3635 ,3908 ,93 
남청주~신탄진,대형차,12417 ,12853 ,13423 ,14201 ,13530 ,13566 ,13657 ,13044 ,13421 ,14669 ,14379 ,14089 ,13607 ,12952 ,105 
신탄진~회덕JC,소형차,77520 ,77828 ,79975 ,81961 ,87983 ,85456 ,83693 ,97414 ,89063 ,88680 ,89308 ,78642 ,84833 ,80966 ,105 
신탄진~회덕JC,중형차,2791 ,2968 ,3125 ,3368 ,3159 ,3145 ,3223 ,2998 ,2973 ,3283 ,3177 ,3071 ,3107 ,3279 ,95 
신탄진~회덕JC,대형차,11286 ,11682 ,12242 ,12995 ,12449 ,12443 ,12444 ,11831 ,12217 ,13397 ,13110 ,12783 ,12409 ,11941 ,104 
회덕JC~대전,소형차,63814 ,64125 ,66342 ,68283 ,73014 ,70660 ,69750 ,80138 ,73754 ,73372 ,73322 ,65350 ,70195 ,64530 ,109 
회덕JC~대전,중형차,2077 ,2229 ,2376 ,2542 ,2360 ,2348 ,2381 ,2200 ,2210 ,2448 ,2370 ,2274 ,2318 ,2378 ,98 
회덕JC~대전,대형차,9073 ,9504 ,10048 ,10661 ,10189 ,10069 ,10148 ,9401 ,9707 ,10741 ,10410 ,10219 ,10016 ,9617 ,104 
대전~비룡JC,소형차,52447 ,51236 ,52726 ,54823 ,60548 ,58157 ,57344 ,67997 ,61538 ,59738 ,59443 ,52602 ,57422 ,53072 ,108 
대전~비룡JC,중형차,1866 ,1984 ,2151 ,2282 ,2140 ,2110 ,2140 ,1974 ,1995 ,2186 ,2149 ,2066 ,2087 ,2102 ,99 
