업소명,소재지(도로명),소재지전화번호,주된음식
신세계회관Ⅰ,인천광역시 남구 연남로 35 (관교동),032) 438 - 2188,뷔페식
신세계회관Ⅱ,인천광역시 남구 연남로 35 (관교동),032) 425 - 5000,뷔페식
(주)신세계 인천점,"인천광역시 남구 연남로 35 (관교동, 신세계백화점 5층)",032) 430 - 1195,집단급식
라화,"인천광역시 남구 연남로 35 (관교동,신세계백화점 6층 전문식당가)",032) 425 - 0860,자장면
하리에,"인천광역시 남구 연남로 35 (관교동,신세계인천점 6층 전문식당가)",032) 430 - 1247,활어회
어가,"인천광역시 남구 석바위로 37, 2,3층 (도화동)",032) 875 - 1300,참치회
용인식당,인천광역시 남구 경인로305번길 5 (도화동),032) 866 - 9045,생태탕
신포횟집,인천광역시 남구 제일로 31 (도화동),032) 867 - 4286,생선회
사조참치,인천광역시 남구 제일로 43-1 (도화동),032) 862 - 0090,광어회
풍전식당,인천광역시 남구 제일로 41 (도화동),032) 866 - 8710,해장국
병천박가네순대,인천광역시 남구 한나루로586번길 41 (도화동),032) 875 - 0369,아구찜
원주추어탕,인천광역시 남구 장고개로 79 (도화동),032) 864 - 2360,추어탕
동막골감자탕,"인천광역시 남구 경인로 221 (도화동,(204호))",032) 863 - 0003,뼈해장국
조박사한우마을,인천광역시 남구 봉수대로 17 (도화동),032) 766 - 1320,버섯생불고기
권가네전주비빔밥,인천광역시 남구 문학길 9-37 (문학동),032) 431 - 2973,비빔밥
가마솥손두부,인천광역시 남구 문학길 9-37 (문학동),032) 426 - 7270,두부보쌈
최김질께,인천광역시 남구 매소홀로546번길 7-47 (문학동),032) 424 - 1218,주먹고기
돈통 마늘보쌈(문학점),인천광역시 남구 매소홀로562번길 5-44 (문학동),032) 426  - 0155,보쌈
명품삼계탕,인천광역시 남구 독정이로 112 (숭의동),032) 889 - 0234,삼계탕
숭의골돌솥추어탕,인천광역시 남구 경인로41번길 27 (숭의동),032) 885 - 4639,추어탕
논골고기촌,"인천광역시 남구 미추로 42 (숭의동,(1층))",032) 882 - 1609,해장국
춘천막국수,인천광역시 남구 독배로498번길 14 (숭의동),032) 882 - 1619,막국수
봉평산마을메밀촌,인천광역시 남구 미추로 37 (숭의동),032) 886 - 9837,메밀국수
선어,인천광역시 남구 미추로27번길 18-20 (숭의동),032) 885 - 8131,생선회
처형식당,인천광역시 남구 독배로492번길 32 (숭의동),032) 886 - 8432,갈치조림
새우물식당,인천광역시 남구 미추로19번길 14 (숭의동),032) 886 - 5239,해장국
쭈돈나라,인천광역시 남구 독배로 462 (숭의동),032) 888 - 7136,쭈꾸미샤브샤브
숭의쌈밥,인천광역시 남구 독배로462번길 30 (숭의동),032) 885 - 8603,쌈밥
부영선지국,인천광역시 남구 장천로14번길 20 (숭의동),032) 884 - 5981,"해장국,수육"
함흥관본관,"인천광역시 남구 인중로 1, 1~3층 (숭의동)",032) 889 - 4004,"영양갈비탕,왕갈비"
청초수 물회. 섭국(인천점),"인천광역시 남구 석정로 19 (숭의동,1,2,3층)",032) 889 - 4004,"물회, 섭국"
아레나파크컨벤션웨딩부페,"인천광역시 남구 석정로 51, 인천축국전용경기장 가동 (숭의동)",032) 881 - 5000,부페
진천토종순대,인천광역시 남구 능해길 33 (숭의동),032) 881 - 5525,생삼겹살
만리성,"인천광역시 남구 아암대로 5 (숭의동,(1,2층))",032) 885 - 9454,자장면
수봉농원,인천광역시 남구 수봉안길 62 (숭의동),032) 868 - 0059,오리로스
인하찹쌀순대,인천광역시 남구 수봉로 95 (숭의동),032) 867 - 6880,순대국밥
소울림(林)소고기국밥,인천광역시 남구 인주대로237번길 27 (용현동),032) 875 - 7338,"보쌈, 족발"
까사올리브,"인천광역시 남구 인하로47번길 5 (용현동,1,2층)",032) 867 - 0733,피자
평산옥,"인천광역시 남구 인하로67번길 5-9 (용현동,,31)",032) 876 - 0177,돼지갈비
동원물텀벙,인천광역시 남구 독배로 405 (용현동),032) 886 - 9595,"아구탕,찜"
성진물텀벙이,"인천광역시 남구 독배로403번길 10 (용현동,2,3층)",032) 883 - 1771,"아구찜,탕"
경희물텀벙해물탕,인천광역시 남구 독배로403번길 21 (용현동),032) 887 - 8979,"아구탕,찜"
본가물텀벙,인천광역시 남구 독배로 401 (용현동),032) 884 - 0900,"아구탕,찜"
이천쌀밥 설악추어탕,인천광역시 남구 낙섬중로 114 (용현동),032) 881 - 2266,추어탕
흥부네,인천광역시 남구 낙섬서로42번길 3 (용현동),032) 886 - 6456,생선구이
백종원의 원조쌈밥집,인천광역시 남구 토금남로 29 (용현동),032) 881 - 0092,쌈밥
남양참치,"인천광역시 남구 낙섬서로 12 (용현동,외1필지)",032) 882 - 3737,참치회
육봉달,인천광역시 남구 매소홀로 81-1 (용현동),032) 885 - 5009,해물탕
한우돈,"인천광역시 남구 매소홀로 45, 2층 (용현동)",032) 885 - 4411,돼지갈비
힘센장어구이,인천광역시 남구 아암대로 97 (용현동),032) 883 - 6700,아구찜
토지장어구이식당,인천광역시 남구 토금남로 2 (용현동),032) 887 - 6575,장어구이
착한장어,인천광역시 남구 아암대로 109 (용현동),032) 886 - 8995,뼈다귀감자탕
육곳간,"인천광역시 남구 토금남로 10 (용현동,(1층))",032) 888 - 2030,돼지갈비
인사동보릿골,"인천광역시 남구 토금남로4번길 5-40 (용현동,(2층))",032) 884 - 5335,보리밥
논골집(주안점),인천광역시 남구 경인로435번길 11 (주안동),032) 431 - 7892,갈비살
석미식당,인천광역시 남구 경인로425번길 14 (주안동),032) 421 - 0061,활어회
라벨르 웨딩하우스,인천광역시 남구 주안로 122 (주안동),032) 433 - 6171,뷔페식
주안청주보쌈,"인천광역시 남구 주안중로50번길 27-7, 1~2층 (주안동)",032) 433 - 7632,보쌈
청송시골감자탕,인천광역시 남구 인하로298번길 55 (주안동),032) 425 - 9252,한방감자탕
(주)드림팰리스 뷔페,"인천광역시 남구 주안로 103-18, 10층 (주안동)",032) 437 - 9999,뷔페식
조가네정육식당,인천광역시 남구 주안로 107 (주안동),032) 434 - 4330,한우
굴이랑매생이랑,"인천광역시 남구 미추홀대로 526 (주안동,(1,2층))",032) 422 - 6111,굴해장국
지송아구탕,인천광역시 남구 미추홀대로 539 (주안동),032) 862 - 6900,"아구탕,찜"
원할머니보쌈인천주안점,인천광역시 남구 인하로266번길 3 (주안동),032) 865 - 5353,보쌈
뷔페리가,인천광역시 남구 주안로 116 (주안동),032) 429 - 3222,뷔페
청석골화로숯불구이,인천광역시 남구 인하로262번길 9 (주안동),032) 865 - 7877,돼지갈비
홍콩반점 0410,인천광역시 남구 미추홀대로734번길 17 (주안동),032) 433 - 7853,보쌈
새마을식당,인천광역시 남구 주안로104번길 12 (주안동),032) 426 - 3400,김치찌개
